Documenten van maximaal 2,5 kg behalve UPS Express Envelopes;;;;;;;;;;;;;;
Gewicht;;;;;;;;;;;;;;
0,5 kg;77,65;111,35;155,55;160,80;178,10;207,90;213,55;178,55;183,15;204,40;157,30;149,70;185,85;221,25
1,0 kg;78,35;113,30;161,75;167,70;185,75;218,30;224,45;186,20;190,70;214,40;163,55;166,80;197,05;238,70
1,5 kg;79,15;115,45;168,10;174,80;193,55;228,45;235,55;193,85;198,55;224,45;170,00;174,80;208,00;255,85
2,0 kg;79,80;117,60;174,35;181,70;201,25;238,85;246,65;201,40;206,20;234,30;176,35;182,60;218,70;273,20
2,5 kg;80,50;119,70;180,55;188,60;208,90;249,15;257,50;209,00;214,00;244,35;182,60;190,70;229,70;290,60
