Meer dan 70 kg;;;;;;;;;;;;;;
Prijs per kg;2,21;3,26;6,70;8,03;10,61;17,92;18,26;10,69;11,10;18,74;7,13;13,46;21,66;27,33
Minimumtarief;154,75;228,25;469,05;562,55;743,20;1.254,85;1.278,25;748,75;777,60;1.311,90;499,30;942,25;1.516,55;1.913,45
