UPS Express Envelopes;;;;;;;;;;;;;;;
zone;1;2;3;4;5;51;52;6;61;7;703;8;9;10;11
EUR;28,55;48,00;82,05;83,25;98,00;112,70;113,70;99,85;102,55;112,95;82,95;75,35;104,95;133,85;140,80
