Meer dan 70 kg;;;;;;;;;;;;;;;
Prijs per kg;1,56;2,45;5,90;7,24;9,78;17,14;17,43;9,86;10,36;17,91;6,32;12,71;20,98;26,50;32,05
Minimumtarief;109,20;171,80;413,10;506,90;684,65;1.200,45;1.220,20;690,70;725,50;1.253,80;442,75;890,30;1.468,70;1.855,40;2.243,85
