Documenten van maximaal 2,5 kg behalve UPS Express Envelopes;;;;;;;;;;;;;;;
Gewicht;;;;;;;;;;;;;;;
0,5 kg;32,10;55,15;99,40;104,60;121,90;151,10;155,55;120,55;124,25;146,30;100,50;92,90;129,55;163,15;170,90
1,0 kg;32,85;57,30;105,65;111,55;129,75;161,60;166,40;128,15;130,25;156,30;106,85;109,95;140,45;180,60;193,75
1,5 kg;33,75;59,25;111,85;118,50;137,35;172,15;177,50;135,80;136,65;166,40;113,10;118,10;151,65;197,80;216,90
2,0 kg;34,30;61,35;118,10;125,40;144,90;182,40;188,50;143,45;143,50;176,40;119,40;125,90;162,55;215,10;239,95
2,5 kg;35,20;63,50;124,25;132,25;152,50;192,95;199,40;150,95;151,00;186,35;125,65;134,15;173,50;232,60;262,85
