Land / Territorium;Landcode;Landcode;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones
Land;ISO-Code;Add;Express Plus;Express;Express Saver;Standard;Expedited;WW Express Freight;Express Freight Midday;Express Plus;Express;Express Saver;Standard;Expedited;WW Express Freight;Express Freight Midday
"Ponape (Micronesia, Federale Statenvan)";FM;;;;10;;5;;;;;;;;;
Portugal;PT;+;5;5;5;6;;5;5;4;4;4;4;;4;4
Puerto Rico;PR;+;;8;8;;3;8;8;8;8;8;;3;8;8
Qatar;QA;;9;9;9;;4;9;;10;10;10;;5;10;10
Réunion;RE;;;11;11;;6;;;10;10;10;;;;
Roemenië;RO;;52;52;52;61;;;;52;52;52;41;;52;52
Rota (Noordelijke Marianen Eilanden);MP;+;;;10;;5;;;10;10;10;;;;
"Rusland Voor de genoemde gebieden101000 - 453999, 460000 - 619999";RU;+;7;7;7;;102;;;7;7;7;;2;7;7
Rusland (Overige bestemmingen);RU;+;10;10;10;;5;;;7;7;7;;2;7;7
Rwanda;RW;;;;11;;6;;;10;10;10;;;;
Saba;BQ;;;;10;;5;;;9;9;9;;;;
"Saipan (Noordelijke MarianenEilanden)";MP;;;10;10;;5;;;10;10;10;;;;
Samoa;WS;;;10;10;;5;;;10;10;10;;;;
Samoa (VS);AS;;;10;10;;5;;;10;10;10;;;;
San Marino;SM;+;;;6;7;;6;;6;6;6;5;;6;6
Saoedi-Arabië;SA;;10;10;10;;4;10;;10;10;10;;5;10;10
Schotland;GB;+;;703;703;704;;3;3;783;753;753;754;;3;3
Senegal;SN;;;11;11;;6;;;10;10;10;;;;
Servië;RS;;7;7;7;;102;;;7;7;7;;;7;7
Seychellen;SC;;;;11;;6;;;10;10;10;;;;
Sierra Leone;SL;;;;11;;6;;;10;10;10;;;;
Singapore;SG;+;9;9;9;;4;9;;9;9;9;;4;9;9
Slovenië;SI;;51;51;51;61;;51;51;51;51;51;41;;51;51
Slowakije;SK;;51;51;51;61;;51;;51;51;51;41;;51;51
Solomon Eilanden;SB;;;10;10;;5;;;;;;;;;
"Spanje (behalve Canarische eilanden,Ceuta en Melilla)";ES;+;5;5;5;6;;5;5;4;4;4;4;;4;4
Sri Lanka;LK;+;;10;10;;5;10;;10;10;10;;;10;10
St. Bartholomeus;BL;;;;10;;5;;;9;9;9;;;;
St. Christopher (St. Kitts);KN;;;10;10;;5;;;9;9;9;;4;;
"St. Croix (AmerikaanseMaagdeneilanden)";VI;;;;10;;5;;;10;10;10;;;;
St. Eustatius;BQ;;;;10;;5;;;9;9;9;;;;
"St. John (AmerikaanseMaagdeneilanden)";VI;;;;10;;5;;;10;10;10;;;;
St. Kitts (St. Christopher);KN;;;10;10;;5;;;9;9;9;;4;;
St. Lucia;LC;;;10;10;;5;;;9;9;9;;4;;
St. Maarten;SX;;;;10;;5;;;9;9;9;;;;
St. Martin (Guadeloupe);SX;;;;10;;5;;;9;9;9;;;;
"St. Thomas (AmerikaanseMaagdeneilanden)";VI;;;;10;;5;;;10;10;10;;;;
St. Vincent en de Grenadines;VC;;;;10;;5;;;9;9;9;;;;
Suriname;SR;;;10;10;;5;;;10;10;10;;;;
Swaziland;SZ;;;;11;;6;;;10;10;10;;;;
