Land / Territorium;Landcode;Landcode;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones
Land;ISO-Code;Add;Express Plus;Express;Express Saver;Standard;Expedited;WW Express Freight;Express Freight Midday;Express Plus;Express;Express Saver;Standard;Expedited;WW Express Freight;Express Freight Midday
Guam;GU;;;;10;;5;;;10;10;10;;;;
Guatemala;GT;+;;10;10;;3;10;;10;10;10;;5;10;10
Guinee;GN;;;;11;;6;;;10;10;10;;;;
Guinee-Bissau;GW;;;;11;;6;;;10;10;10;;;;
Guyana;GY;+;;;10;;5;;;10;10;10;;;;
Haïti;HT;+;;;10;;5;;;8;8;8;;3;;
Honduras;HN;+;;10;10;;3;10;;10;10;10;;5;10;10
Hongarije;HU;+;51;51;51;61;;51;51;51;51;51;41;;51;51
Hongkong;HK;;9;9;9;;4;9;9;9;9;9;;4;9;9
Ierland, Republiek;IE;;5;5;5;6;;5;5;3;3;3;4;;3;3
IJsland;IS;;;7;7;;102;;;7;7;7;;;;
India;IN;+;9;9;9;;4;9;9;9;9;9;;4;9;9
Indonesië;ID;+;9;9;9;;4;9;;10;10;10;;5;10;10
Irak;IQ;+;;;9;;4;;;10;10;10;;5;;
Israël;IL;;;9;9;;4;9;9;9;9;9;;4;9;9
Italië;IT;+;4;4;4;5;;4;4;4;4;4;4;;4;4
Ivoorkust (Côte d’Ivoire);CI;;;;11;;6;;;10;10;10;;;;
Jamaica;JM;+;;10;10;;5;;;8;8;8;;;;
Japan;JP;+;;9;9;;5;9;9;10;10;10;;5;10;10
Jemen, Republiek;YE;;;;;;;;;10;10;10;;;;
Jordanië;JO;;;9;9;;4;9;;10;10;10;;;10;10
Kaapverdische Eilanden;CV;;;;11;;6;;;10;10;10;;;;
Kameroen;CM;;;;11;;6;;;10;10;10;;;;
Kanaaleilanden (Guernsey);GG;;;6;6;7;;;;6;6;6;5;;;
Kanaaleilanden (Jersey);JE;;;6;6;7;;;;6;6;6;5;;;
Kazachstan;KZ;+;;10;10;;5;;;10;10;10;;5;;
Kenia;KE;;;11;11;;6;;;10;10;10;;5;;
Kirgizstan;KG;;;10;10;;5;;;10;10;10;;;;
Kiribati;KI;;;;10;;5;;;;;;;;;
Koeweit;KW;;9;9;9;;4;9;;10;10;10;;5;;
Korea, Zuid;KR;;;;9;;4;9;9;10;10;10;;5;10;10
Kosovo;KV;;7;7;7;;102;;;7;7;7;;;;
"Kosrae (Micronesia, Federale Statenvan)";FM;;;;10;;5;;;;;;;;;
Kroatië;HR;+;;51;51;61;;;;51;51;51;41;;;
Laos;LA;;;10;10;;5;;;10;10;10;;;;
Lesotho;LS;;;;11;;6;;;10;10;10;;;;
Letland;LV;;;52;52;61;;;;52;52;52;41;;52;52
Libanon;LB;;;11;11;;6;11;;10;10;10;;;10;10
Liberia;LR;;;;11;;6;;;10;10;10;;;;
Libië;LY;;;;;;;;;10;10;10;;;;
Liechtenstein;LI;;;61;61;7;;61;;6;6;6;5;;6;6
Litouwen;LT;;;52;52;61;;;;52;52;52;41;;52;52
Luxemburg;LU;;3;3;3;2;;3;;2;2;2;2;;2;2
Macau;MO;;;9;9;;4;;;10;10;10;;5;;
Macedonië (FYROM);MK;;7;7;7;;102;;;7;7;7;;;;
Madagaskar;MG;;;;11;;6;;;10;10;10;;;;
Madeira;PT;+;;;5;;;;;;;5;;;4;4
Malawi;MW;;;11;11;;6;;;10;10;10;;;;
