Land / Territorium;Landcode;Landcode;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones
Land;ISO-Code;Add;Express Plus;Express;Express Saver;Standard;Expedited;WW Express Freight;Express Freight Midday;Express Plus;Express;Express Saver;Standard;Expedited;WW Express Freight;Express Freight Midday
Afghanistan;AF;;;;10;;5;;;9;9;9;;;;
Albanië;AL;;7;7;7;;102;;;7;7;7;;;;
Algerije;DZ;;;11;11;;6;;;10;10;10;;;;
Amerikaanse Maagdeneilanden;VI;;;;10;;5;;;10;10;10;;;;
Andorra;AD;;;6;6;7;;;;;;;;;;
Angola;AO;;;;11;;6;;;10;10;10;;;;
Anguilla;AI;;;;10;;5;;;9;9;9;;;;
Antigua en Barbuda;AG;;;;10;;5;;;9;9;9;;;;
Argentinië;AR;+;;10;10;;5;10;;10;10;10;;5;10;10
Armenië;AM;;10;10;10;;5;;;7;7;7;;;;
Aruba;AW;;;;10;;5;;;9;9;9;;;;
Australië;AU;+;9;9;9;;5;9;9;10;10;10;;5;10;10
Azerbeidzjan;AZ;;;;10;;5;;;10;10;10;;;;
Azoren;PT;+;;;5;;;5;;;;5;;;4;4
Bahama's;BS;+;;10;10;;5;;;9;9;9;;;;
Bahrein;BH;;9;9;9;;4;9;;10;10;10;;5;10;10
Bangladesh;BD;+;;;10;;5;10;;10;10;10;;;10;10
Barbados;BB;;;10;10;;5;;;9;9;9;;;;
Barbuda (Antigua);AG;;;;10;;5;;;9;9;9;;;;
Belarus (Wit-Rusland);BY;+;7;7;7;;102;;;7;7;7;;;;
België;BE;;2;2;2;2;;2;2;2;2;2;2;;2;2
Belize;BZ;;;;10;;5;;;;;;;;;
Benin;BJ;;;;11;;6;;;10;10;10;;;;
Bermuda;BM;;;10;10;;5;;;9;9;9;;;;
Bhutan;BT;;;10;10;;5;;;10;10;10;;;;
Bolivia;BO;;;10;10;;5;;;10;10;10;;;;
Bonaire;BQ;;;;10;;5;;;9;9;9;;;;
Bosnië-Herzegovina;BA;;7;7;7;;102;;;7;7;7;;;;
Botswana;BW;;;;11;;6;;;10;10;10;;;;
Brazilië;BR;+;10;10;10;;5;10;;10;10;10;;5;10;10
Britse Maagdeneilanden;VG;;;;10;;5;;;9;9;9;;;;
Brunei;BN;+;;10;10;;5;;;10;10;10;;;;
Bulgarije;BG;;52;52;52;61;;;;52;52;52;41;;52;52
Burkina Faso;BF;;;;11;;6;;;10;10;10;;;;
Burundi;BI;;;;11;;6;;;10;10;10;;;;
;;;;;;;;;;;;;;;;
Cambodja;KH;+;;10;10;;5;;;10;10;10;;;;
Canada;CA;+;8;8;8;;3;8;8;8;8;8;;3;8;8
Canarische Eilanden;IC;+;;;6;;;;;;6;6;;;;
Caymaneilanden;KY;;;;10;;5;;;9;9;9;;;;
Centraal-Afrikaanse Republiek;CF;;;;11;;6;;;;;;;;;
Ceuta;ES;+;;;6;;;;;;;;;;;
Chili;CL;+;;10;10;;5;10;10;10;10;10;;5;10;10
China, Volksrepubliek;CN;+;9;9;9;;5;9;;10;10;10;;5;10;10
Colombia;CO;+;;10;10;;5;10;;10;10;10;;5;10;10
Comoren;KM;;;;11;;6;;;10;10;10;;;;
Congo (Brazzaville);CG;;;;11;;6;;;10;10;10;;;;
"Congo, Democratische Republiekvan";CD;;;;11;;6;;;10;10;10;;;;
Cookeilanden;CK;;;;10;;5;;;;;;;;;
