Land / Territorium;Landcode;Landcode;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Verzendzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones;Ontvangstzones
Land;ISO-Code;Add;Express Plus;Express;Express Saver;Standard;Expedited;WW Express Freight;Express Freight Midday;Express Plus;Express;Express Saver;Standard;Expedited;WW Express Freight;Express Freight Midday
Malediven;MV;;;10;10;;5;;;;;10;;5;;
Maleisië;MY;+;;9;9;;4;9;9;9;9;9;;4;9;9
Mali;ML;;;;11;;6;;;10;10;10;;;;
Malta;MT;;;52;52;;;52;;52;52;52;;;52;52
Marokko;MA;;;11;11;;6;11;;10;10;10;;5;10;10
Marshalleilanden;MH;;;;10;;5;;;;;;;;;
Martinique;MQ;;;;10;;5;;;9;9;9;;;;
Mauretanië;MR;;;11;11;;6;;;10;10;10;;;;
Mauritius;MU;;;11;11;;6;;;10;10;10;;;;
Mayotte;YT;;;;11;;6;;;10;10;10;;;;
Melilla;ES;+;;;6;;;;;;;;;;;
Mexico;MX;+;8;8;8;;3;8;8;8;8;8;;3;8;8
Micronesia, Federale Staten van;FM;;;10;10;;5;;;;;;;;;
Moldavië;MD;+;7;7;7;;102;;;7;7;7;;;;
Monaco;MC;;;4;4;5;;4;;4;4;4;3;;4;4
Mongolië;MN;;;;9;;4;;;10;10;10;;;;
Montenegro;ME;;7;7;7;;102;;;7;7;7;;;;
Montserrat;MS;;;;10;;5;;;9;9;9;;;;
Mozambique;MZ;;;;11;;6;;;10;10;10;;;;
Myanmar;MM;;;10;10;;5;;;;10;10;;5;;
Namibië;NA;;;11;11;;6;;;10;10;10;;;;
Nederland;NL;+;1;1;1;1;;;;1;1;1;1;;;
Nepal;NP;+;;10;10;;5;;;10;10;10;;;;
Nevis (St. Kitts);KN;;;10;10;;5;;;9;9;9;;4;;
Nicaragua;NI;;;;10;;3;10;;10;10;10;;5;10;10
Nieuw-Caledonië;NC;;;10;10;;5;;;10;10;10;;;;
Nieuw-Zeeland;NZ;+;;9;9;;5;9;;10;10;10;;5;10;10
Niger;NE;;;11;11;;6;;;10;10;10;;;;
Nigeria;NG;+;10;10;10;;5;;;10;10;10;;5;;
Noordelijke Marianen Eilanden;MP;+;;;10;;5;;;10;10;10;;;;
Noord-Ierland;GB;;;;5;6;;5;5;3;3;3;4;;3;3
Noorwegen;NO;+;61;61;61;7;;61;;6;6;6;5;;6;6
Oeganda;UG;;;;11;;6;;;10;10;10;;;;
Oekraïne;UA;+;7;7;7;;102;;;7;7;7;;;;
Oezbekistan;UZ;;;;10;;5;;;10;10;10;;;;
Oman;OM;;;9;9;;4;9;;10;10;10;;5;10;10
Oost Timor;TL;;;;10;;5;;;;;;;;;
Oostenrijk;AT;+;5;5;5;6;;5;5;4;4;4;3;;4;4
Pakistan;PK;+;;10;10;;5;10;;9;9;9;;4;9;9
Palau;PW;;;;10;;5;;;;;;;;;
Panama;PA;+;;10;10;;5;10;;10;10;10;;5;10;10
Papoea-Nieuw-Guinea;PG;;;10;10;;5;;;;;;;;;
Paraguay;PY;;;;10;;5;;;10;10;10;;;;
Peru;PE;+;;10;10;;5;;;10;10;10;;5;;
Polen;PL;+;51;51;51;51;;51;51;51;51;51;41;;51;51
