Documenten van maximaal 2,5 kg behalve UPS Express Envelopes;;;;;;;;;;;;;;;;
Gewicht;;;;;;;;;;;;;;;;
0,5 kg;27,75;51,15;92,15;97,05;112,95;140,00;144,00;112,45;114,95;135,50;93,20;114,25;86,50;120,70;152,10;160,20
1,0 kg;28,60;53,05;97,85;103,40;120,05;149,65;154,00;119,60;120,65;144,80;98,95;121,40;102,55;130,90;168,30;181,75
1,5 kg;29,30;55,05;103,55;109,75;127,25;159,30;164,35;126,80;126,85;154,35;104,70;128,65;110,05;141,25;184,65;203,30
2,0 kg;30,25;56,85;109,35;116,00;134,10;168,95;174,65;133,80;133,85;163,90;110,60;135,60;117,60;151,65;200,85;224,85
2,5 kg;31,05;58,80;114,95;122,55;141,20;178,55;184,70;141,05;141,10;173,15;116,25;142,80;125,20;161,80;217,00;246,35
