Meer dan 70 kg;;;;;;;;;;;;;;;;
Prijs per kg;1,20;2,28;5,52;6,70;9,05;16,11;16,30;9,32;9,81;16,79;5,94;9,51;12,10;19,80;24,66;30,03
Minimumtarief;84,05;159,70;386,50;469,50;633,95;1.128,20;1.141,50;652,40;687,25;1.175,95;415,85;666,10;847,35;1.386,35;1.726,80;2.102,70
