Meer dan 100 kg;;;;;;;;
Prijs per kg;6,48;9,30;15,92;7,39;8,47;12,04;15,72;28,48
Minimumtarief;648,65;930,75;1.592,80;739,90;847,25;1.204,75;1.572,20;2.848,10
